City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,76.37,overcast clouds,-23.1203,-134.9692,People ThankYou
2,Marang,MY,85.91,overcast clouds,5.2056,103.2059,DBarakah Homestay
3,Hilo,US,74.12,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
4,Hobart,AU,71.46,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
7,Kralendijk,BQ,81.18,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
8,Laredo,US,73.85,clear sky,27.5064,-99.5075,La Posada Hotel
9,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
10,Busselton,AU,76.08,clear sky,-33.65,115.3333,Observatory Guest House
11,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
16,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
19,Batemans Bay,AU,72.19,heavy intensity rain,-35.7167,150.1833,Batemans Bay Marina Resort
22,Labuhan,ID,79.23,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
34,Morant Bay,JM,80.22,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
36,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
37,Marawi,PH,73.65,overcast clouds,7.9986,124.2928,Derogongan Residence
38,Kavieng,PG,82.04,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
45,Cayenne,GF,76.08,mist,4.9333,-52.3333,Hôtel Le Dronmi
48,Saint-Philippe,RE,87.35,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
49,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
52,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
58,Port Elizabeth,ZA,70.09,moderate rain,-33.918,25.5701,39 On Nile Guest House
61,Tambilil,PH,83.62,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
70,Mahebourg,MU,84.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
72,Lahat,ID,85.19,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
77,New Norfolk,AU,71.1,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
85,Fare,PF,81.19,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
86,San Policarpo,PH,80.44,scattered clouds,12.1791,125.5072,Agapita M. Nicart
87,Koumac,NC,82.04,broken clouds,-20.5667,164.2833,Le Monitel
98,Presidente Epitacio,BR,74.07,clear sky,-21.7633,-52.1156,Hotel Itaverá
100,Vao,NC,77.14,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
