City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qena,EG,26.1615,32.7183,53.71,50,100,3.36,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,76.37,75,100,6.15,overcast clouds
2,Marang,MY,5.2056,103.2059,85.91,71,100,7.38,overcast clouds
3,Hilo,US,19.7297,-155.09,74.12,83,100,11.99,light rain
4,Hobart,AU,-42.8794,147.3294,71.46,50,0,4.0,clear sky
5,Boulder City,US,35.9786,-114.8325,59.76,21,1,0.0,clear sky
6,Pareora,NZ,-44.4871,171.2132,54.18,64,100,6.89,overcast clouds
7,Kralendijk,BQ,12.15,-68.2667,81.18,77,100,23.33,overcast clouds
8,Laredo,US,27.5064,-99.5075,73.85,88,1,10.36,clear sky
9,Vaini,TO,-21.2,-175.2,78.96,89,75,9.22,broken clouds
10,Busselton,AU,-33.65,115.3333,76.08,38,0,4.85,clear sky
11,Avarua,CK,-21.2078,-159.775,77.05,83,40,4.61,light rain
12,Fortuna,US,40.5982,-124.1573,49.35,73,90,0.0,overcast clouds
13,Mataura,NZ,-46.1927,168.8643,54.48,62,76,7.65,broken clouds
14,Punta Arenas,CL,-53.15,-70.9167,43.16,76,100,5.77,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,42.46,65,20,8.05,few clouds
16,Tiarei,PF,-17.5333,-149.3333,80.62,75,14,15.52,light rain
17,Qaanaaq,GL,77.484,-69.3632,21.4,78,100,7.99,overcast clouds
18,Kolpashevo,RU,58.3131,82.9089,29.84,95,100,7.96,overcast clouds
19,Batemans Bay,AU,-35.7167,150.1833,72.19,66,100,8.97,heavy intensity rain
20,Longyearbyen,SJ,78.2186,15.6401,31.84,69,75,20.71,light snow
21,Sarkand,KZ,45.41,79.9186,41.83,70,100,2.33,overcast clouds
22,Labuhan,ID,-6.8844,112.2051,79.23,85,100,8.77,overcast clouds
23,San Carlos De Bariloche,AR,-41.1456,-71.3082,56.95,38,0,5.75,clear sky
24,Port-Cartier,CA,50.0334,-66.8654,7.02,63,100,4.38,overcast clouds
25,Hamilton,US,39.1834,-84.5333,63.0,92,90,3.0,overcast clouds
26,Fort Nelson,CA,58.8053,-122.7002,-22.41,76,40,6.91,scattered clouds
27,Iquique,CL,-20.2208,-70.1431,65.95,64,100,2.57,overcast clouds
28,Honningsvag,NO,70.9821,25.9704,31.75,69,75,19.57,light shower snow
29,Loukhi,RU,66.0764,33.0381,4.33,95,21,6.31,few clouds
30,Prince Rupert,CA,54.3161,-130.3201,33.49,81,90,3.44,light snow
31,Bluff,NZ,-46.6,168.3333,54.81,59,24,20.62,few clouds
32,Pisco,PE,-13.7,-76.2167,66.25,82,0,6.91,light rain
